   GoodVibes v3.2 2026/08/25 09:10:18
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --qs grimme --ti 300,2000,100 

   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for wB97XD/6-311+G(2d,2p) level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Variable-Temperature analysis of the enthalpy, entropy and the entropy at a constant pressure between
   T init:  300.0,  T final:  2000.0,  T interval: 100.0

   Structure                                      Temp/K                        H        T.S     T.qh-S          G(T)       qh-G(T)
   ********************************************************************************************************************************
o  22rh                                            300.0              -654.597640   0.044345   0.043764   -654.641986   -654.641405
o  22rh                                            400.0              -654.591722   0.065907   0.064839   -654.657628   -654.656561
o  22rh                                            500.0              -654.584748   0.090144   0.088522   -654.674892   -654.673270
o  22rh                                            600.0              -654.576906   0.116738   0.114508   -654.693644   -654.691414
o  22rh                                            700.0              -654.568367   0.145400   0.142517   -654.713767   -654.710884
o  22rh                                            800.0              -654.559263   0.175891   0.172316   -654.735154   -654.731580
o  22rh                                            900.0              -654.549697   0.208013   0.203714   -654.757710   -654.753412
o  22rh                                           1000.0              -654.539747   0.241606   0.236554   -654.781353   -654.776300
o  22rh                                           1100.0              -654.529473   0.276535   0.270702   -654.806008   -654.800175
o  22rh                                           1200.0              -654.518926   0.312685   0.306048   -654.831612   -654.824974
o  22rh                                           1300.0              -654.508147   0.349958   0.342493   -654.858104   -654.850640
o  22rh                                           1400.0              -654.497167   0.388268   0.379956   -654.885435   -654.877124
o  22rh                                           1500.0              -654.486016   0.427541   0.418363   -654.913556   -654.904379
o  22rh                                           1600.0              -654.474716   0.467711   0.457650   -654.942427   -654.932366
o  22rh                                           1700.0              -654.463286   0.508722   0.497761   -654.972008   -654.961047
o  22rh                                           1800.0              -654.451744   0.550522   0.538645   -655.002266   -654.990389
o  22rh                                           1900.0              -654.440103   0.593064   0.580258   -655.033167   -655.020361
o  22rh                                           2000.0              -654.428374   0.636310   0.622559   -655.064684   -655.050933
   ********************************************************************************************************************************
